Player Name,Stat Type,Stats Data
Nick Woltemade,Summary,Newcastle United,"['27', 'de GER', 'FW', '23-226', '66', '1', '0', '0', '0', '1', '1', '0', '0', '14', '0', '1', '0', '0.3', '0.3', '0.0', '0', '0', '9', '10', '90.0', '1', '9', '1', '0', '0']"
William Osula,Summary,Newcastle United,"['18', 'dk DEN', 'FW', '22-055', '24', '0', '0', '0', '0', '0', '0', '0', '0', '2', '0', '0', '0', '0.0', '0.0', '0.0', '0', '0', '1', '1', '100.0', '0', '2', '0', '0', '0']"
Anthony Gordon,Summary,Newcastle United,"['10', 'eng ENG', 'LW', '24-216', '66', '0', '0', '0', '0', '1', '1', '0', '0', '29', '3', '0', '0', '0.1', '0.1', '0.0', '3', '1', '10', '16', '62.5', '2', '15', '1', '4', '1']"
Kieran Trippier,Summary,Newcastle United,"['2', 'eng ENG', 'RB,LW', '35-009', '24', '0', '0', '0', '0', '0', '0', '0', '0', '16', '0', '0', '0', '0.0', '0.0', '0.0', '0', '0', '9', '13', '69.2', '2', '1', '0', '0', '0']"
Jacob Murphy,Summary,Newcastle United,"['23', 'eng ENG', 'RW', '30-216', '66', '0', '0', '0', '0', '1', '0', '0', '0', '14', '0', '0', '1', '0.1', '0.1', '0.0', '1', '0', '4', '10', '40.0', '1', '9', '1', '1', '1']"
Anthony Elanga,Summary,Newcastle United,"['20', 'se SWE', 'RM,RW', '23-154', '24', '0', '0', '0', '0', '1', '0', '0', '0', '8', '0', '0', '0', '0.0', '0.0', '0.0', '0', '0', '4', '5', '80.0', '1', '2', '0', '1', '0']"
Joelinton,Summary,Newcastle United,"['7', 'br BRA', 'LM', '29-045', '89', '0', '0', '0', '0', '1', '0', '1', '0', '40', '1', '2', '2', '0.0', '0.0', '0.1', '2', '0', '21', '32', '65.6', '2', '13', '1', '0', '0']"
Harvey Barnes,Summary,Newcastle United,"['11', 'eng ENG', 'LM', '27-293', '1', '0', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0.0', '0.0', '0.0', '0', '0', '0', '0', '', '0', '1', '0', '1', '0']"
Sandro Tonali,Summary,Newcastle United,"['8', 'it ITA', 'CM', '25-143', '90', '0', '1', '0', '0', '0', '0', '0', '0', '49', '2', '2', '1', '0.0', '0.0', '0.4', '4', '1', '22', '35', '62.9', '3', '19', '0', '1', '1']"
Bruno Guimarães,Summary,Newcastle United,"['39', 'br BRA', 'RM,CM', '27-316', '90', '0', '0', '0', '0', '0', '0', '0', '0', '35', '2', '0', '0', '0.0', '0.0', '0.1', '4', '0', '21', '26', '80.8', '2', '17', '0', '1', '0']"
Dan Burn,Summary,Newcastle United,"['33', 'eng ENG', 'LB,CB', '33-142', '90', '0', '0', '0', '0', '0', '0', '1', '0', '54', '2', '1', '0', '0.0', '0.0', '0.0', '0', '0', '17', '42', '40.5', '4', '8', '0', '0', '0']"
Sven Botman,Summary,Newcastle United,"['4', 'nl NED', 'CB', '25-259', '90', '0', '0', '0', '0', '0', '0', '0', '0', '64', '0', '1', '3', '0.0', '0.0', '0.0', '0', '0', '35', '43', '81.4', '1', '25', '0', '0', '0']"
Malick Thiaw,Summary,Newcastle United,"['12', 'de GER', 'CB', '24-051', '90', '0', '0', '0', '0', '2', '1', '0', '0', '38', '1', '1', '2', '0.1', '0.1', '0.0', '0', '0', '20', '23', '87.0', '1', '11', '0', '0', '0']"
Valentino Livramento,Summary,Newcastle United,"['21', 'eng ENG', 'RB,LB', '22-320', '76', '0', '0', '0', '0', '0', '0', '0', '0', '30', '0', '0', '0', '0.0', '0.0', '0.0', '0', '0', '16', '25', '64.0', '2', '10', '2', '1', '0']"
Jamaal Lascelles,Summary,Newcastle United,"['6', 'eng ENG', 'CB', '31-321', '14', '0', '0', '0', '0', '1', '0', '0', '0', '10', '0', '0', '1', '0.0', '0.0', '0.0', '0', '0', '4', '6', '66.7', '0', '2', '0', '0', '0']"
Nick Pope,Summary,Newcastle United,"['1', 'eng ENG', 'GK', '33-162', '90', '0', '0', '0', '0', '0', '0', '0', '0', '43', '1', '0', '0', '0.0', '0.0', '0.0', '0', '0', '21', '37', '56.8', '0', '21', '0', '0', '0']"
Nick Woltemade,Passing,Newcastle United,"['27', 'de GER', 'FW', '23-226', '66', '9', '10', '90.0', '90', '28', '6', '6', '100.0', '2', '3', '66.7', '0', '0', '', '0', '0.0', '0.0', '0', '1', '0', '0', '1']"
William Osula,Passing,Newcastle United,"['18', 'dk DEN', 'FW', '22-055', '24', '1', '1', '100.0', '25', '0', '0', '0', '', '1', '1', '100.0', '0', '0', '', '0', '0.0', '0.0', '0', '0', '0', '0', '0']"
Anthony Gordon,Passing,Newcastle United,"['10', 'eng ENG', 'LW', '24-216', '66', '10', '16', '62.5', '201', '63', '7', '10', '70.0', '1', '1', '100.0', '2', '5', '40.0', '0', '0.0', '0.0', '1', '2', '0', '0', '2']"
Kieran Trippier,Passing,Newcastle United,"['2', 'eng ENG', 'RB,LW', '35-009', '24', '9', '13', '69.2', '138', '69', '4', '4', '100.0', '4', '5', '80.0', '0', '3', '0.0', '0', '0.0', '0.0', '0', '0', '0', '0', '2']"
Jacob Murphy,Passing,Newcastle United,"['23', 'eng ENG', 'RW', '30-216', '66', '4', '10', '40.0', '65', '49', '2', '2', '100.0', '1', '4', '25.0', '1', '3', '33.3', '0', '0.0', '0.0', '0', '1', '0', '0', '1']"
Anthony Elanga,Passing,Newcastle United,"['20', 'se SWE', 'RM,RW', '23-154', '24', '4', '5', '80.0', '51', '31', '3', '3', '100.0', '1', '2', '50.0', '0', '0', '', '0', '0.0', '0.0', '0', '0', '1', '0', '1']"
Joelinton,Passing,Newcastle United,"['7', 'br BRA', 'LM', '29-045', '89', '21', '32', '65.6', '246', '76', '16', '21', '76.2', '4', '7', '57.1', '0', '0', '', '0', '0.1', '0.0', '1', '3', '0', '0', '2']"
Harvey Barnes,Passing,Newcastle United,"['11', 'eng ENG', 'LM', '27-293', '1', '0', '0', '', '0', '0', '0', '0', '', '0', '0', '', '0', '0', '', '0', '0.0', '0.0', '0', '0', '0', '0', '0']"
Sandro Tonali,Passing,Newcastle United,"['8', 'it ITA', 'CM', '25-143', '90', '22', '35', '62.9', '378', '175', '13', '14', '92.9', '5', '10', '50.0', '3', '10', '30.0', '1', '0.4', '0.3', '3', '2', '2', '1', '3']"
Bruno Guimarães,Passing,Newcastle United,"['39', 'br BRA', 'RM,CM', '27-316', '90', '21', '26', '80.8', '358', '53', '9', '14', '64.3', '11', '11', '100.0', '1', '1', '100.0', '0', '0.1', '0.2', '2', '0', '1', '0', '2']"
Dan Burn,Passing,Newcastle United,"['33', 'eng ENG', 'LB,CB', '33-142', '90', '17', '42', '40.5', '384', '205', '7', '11', '63.6', '6', '14', '42.9', '4', '14', '28.6', '0', '0.0', '0.0', '0', '3', '0', '0', '4']"
Sven Botman,Passing,Newcastle United,"['4', 'nl NED', 'CB', '25-259', '90', '35', '43', '81.4', '619', '250', '14', '15', '93.3', '16', '17', '94.1', '4', '8', '50.0', '0', '0.0', '0.0', '1', '0', '0', '0', '1']"
